nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
CHINA BIOLOGIC PRODS HLDGS I 	COM	G21515104	4179	45800	SH	DFND	45800	0	0
CHINA BIOLOGIC PRODS HLDGS I 	COM	G21515104	557	6100	SH	DFND	6100	0	0
CHINA LIFE INS CO LTD 	SPON ADR REP H	16939P106	30	2228	SH	DFND	2228	0	0
CHINA LIFE INS CO LTD 	SPON ADR REP H	16939P106	1153	85900	SH	DFND	85900	0	0
CHINA LIFE INS CO LTD 	SPON ADR REP H	16939P106	4918	366500	SH	DFND	366500	0	0
CHINA MOBILE LIMITED 	SPONSORED ADR	16941M109	15047	295100	SH	DFND	295100	0	0
CHINA PETE & CHEM CORP 	SPON ADR H SHS	16941R108	222	2796	SH	DFND	2796	0	0
CHINA PETE & CHEM CORP 	SPON ADR H SHS	16941R108	795	10000	SH	DFND	10000	0	0
CHINA SOUTHN AIRLS LTD 	SPON ADR CL H	169409109	1306	30000	SH	DFND	30000	0	0
CHINA SOUTHN AIRLS LTD 	SPON ADR CL H	169409109	104	2400	SH	DFND	2400	0	0
CHIPOTLE MEXICAN GRILL INC 	COM	169656105	77921	109700	SH	DFND	109700	0	0
CHIPOTLE MEXICAN GRILL INC 	COM	169656105	150799	212300	SH	DFND	212300	0	0
CHUBB LIMITED 	COM	H1467J104	2381	17000	SH	DFND	17000	0	0
CHURCH & DWIGHT INC	COM	171340102	15329	215200	SH	DFND	215200	0	0
CHURCH & DWIGHT INC	COM	171340102	876	12300	SH	DFND	12300	0	0
CHURCHILL DOWNS INC 	COM	171484108	835	9251	SH	DFND	9251	0	0
CHURCHILL DOWNS INC 	COM	171484108	27	300	SH	DFND	300	0	0
CHUYS HLDGS INC 	COM	171604101	52	2300	SH	DFND	2300	0	0
CHUYS HLDGS INC 	COM	171604101	155	6800	SH	DFND	6800	0	0
CIENA CORP 	COM NEW	171779309	5864	157031	SH	DFND	157031	0	0
CIENA CORP 	COM NEW	171779309	7001	187500	SH	DFND	187500	0	0
CIENA CORP 	COM NEW	171779309	14768	395500	SH	DFND	395500	0	0
CIGNA CORP NEW	COM	125523100	46302	287911	SH	DFND	287911	0	0
CIGNA CORP NEW	COM	125523100	15230	94700	SH	DFND	94700	0	0
CIGNA CORP NEW	COM	125523100	114793	713800	SH	DFND	713800	0	0
CIMAREX ENERGY CO 	COM	171798101	2659	38040	SH	DFND	38040	0	0
CIMAREX ENERGY CO 	COM	171798101	4341	62100	SH	DFND	62100	0	0
CIMPRESS N V	SHS EURO	N20146101	609	7600	SH	DFND	7600	0	0
CIMPRESS N V	SHS EURO	N20146101	272	3400	SH	DFND	3400	0	0
CINCINNATI FINL CORP 	COM	172062101	275	3200	SH	DFND	3200	0	0
CINCINNATI FINL CORP 	COM	172062101	9	100	SH	DFND	100	0	0
CINEMARK HOLDINGS INC	COM	17243V102	273	6829	SH	DFND	6829	0	0
CIRCOR INTL INC	COM	17273K109	1330	40800	SH	DFND	40800	0	0
CIRCOR INTL INC	COM	17273K109	254	7800	SH	DFND	7800	0	0
CIRRUS LOGIC INC 	COM	172755100	29	686	SH	DFND	686	0	0
CIRRUS LOGIC INC 	COM	172755100	858	20400	SH	DFND	20400	0	0
CIRRUS LOGIC INC 	COM	172755100	1022	24300	SH	DFND	24300	0	0
CISCO SYS INC	COM	17275R102	20187	373900	SH	DFND	373900	0	0
CISCO SYS INC	COM	17275R102	14680	271900	SH	DFND	271900	0	0
CIT GROUP INC	COM NEW	125581801	3551	74022	SH	DFND	74022	0	0
CIT GROUP INC	COM NEW	125581801	101	2100	SH	DFND	2100	0	0
CIT GROUP INC	COM NEW	125581801	149	3100	SH	DFND	3100	0	0
CITIGROUP INC 	COM NEW	172967424	9902	159148	SH	DFND	159148	0	0
CITIGROUP INC 	COM NEW	172967424	4978	80000	SH	DFND	80000	0	0
CITIGROUP INC 	COM NEW	172967424	144046	2315100	SH	DFND	2315100	0	0
CITIZENS FINL GROUP INC 	COM	174610105	4695	144450	SH	DFND	144450	0	0
CITIZENS FINL GROUP INC 	COM	174610105	1329	40900	SH	DFND	40900	0	0
CITIZENS FINL GROUP INC 	COM	174610105	13384	411800	SH	DFND	411800	0	0
CITRIX SYS INC 	COM	177376100	9332	93642	SH	DFND	93642	0	0
CITRIX SYS INC 	COM	177376100	299	3000	SH	DFND	3000	0	0
CITRIX SYS INC 	COM	177376100	38000	381300	SH	DFND	381300	0	0
CITY HLDG CO 	COM	177835105	268	3515	SH	DFND	3515	0	0
CITY HLDG CO 	COM	177835105	69	900	SH	DFND	900	0	0
CITY OFFICE REIT INC 	COM	178587101	208	18400	SH	DFND	18400	0	0
CITY OFFICE REIT INC 	COM	178587101	158	14000	SH	DFND	14000	0	0
CIVEO CORP CDA	COM	17878Y108	21	10206	SH	DFND	10206	0	0
CLARUS CORP NEW 	COM	18270P109	87	6771	SH	DFND	6771	0	0
CLARUS CORP NEW 	COM	18270P109	260	20300	SH	DFND	20300	0	0
CLEAN HARBORS INC	COM	184496107	4139	57858	SH	DFND	57858	0	0
CLEVELAND CLIFFS INC	COM	185899101	966	96696	SH	DFND	96696	0	0
CLEVELAND CLIFFS INC	COM	185899101	4	400	SH	DFND	400	0	0
CLEVELAND CLIFFS INC	COM	185899101	20142	2016200	SH	DFND	2016200	0	0
CLOROX CO DEL 	COM	189054109	802	5000	SH	DFND	5000	0	0
CLOUDERA INC 	COM	18914U100	981	89651	SH	DFND	89651	0	0
CLOUDERA INC 	COM	18914U100	1340	122500	SH	DFND	122500	0	0
CLOUDERA INC 	COM	18914U100	8169	746700	SH	DFND	746700	0	0
CME GROUP INC	COM CL A	12572Q105	1481	9000	SH	DFND	9000	0	0
CNH INDL N V 	SHS	N20944109	357	35000	SH	DFND	35000	0	0
CNX MIDSTREAM PARTNERS LP 	COM UNIT REPST	12654A101	1831	120401	SH	DFND	120401	0	0
CNX MIDSTREAM PARTNERS LP 	COM UNIT REPST	12654A101	70	4600	SH	DFND	4600	0	0
CNX MIDSTREAM PARTNERS LP 	COM UNIT REPST	12654A101	3278	215500	SH	DFND	215500	0	0
CNX RESOURCES CORPORATION 	COM	12653C108	1190	110481	SH	DFND	110481	0	0
CNX RESOURCES CORPORATION 	COM	12653C108	3753	348500	SH	DFND	348500	0	0
COCA COLA CO	COM	191216100	446	9527	SH	DFND	9527	0	0
COCA COLA CO	COM	191216100	4986	106400	SH	DFND	106400	0	0
COCA COLA EUROPEAN PARTNERS 	SHS	G25839104	2773	53600	SH	DFND	53600	0	0
COCA COLA FEMSA S A B DE C V 	SPON ADR REP L	191241108	449	6800	SH	DFND	6800	0	0
COGENT COMMUNICATIONS HLDGS 	COM NEW	19239V302	879	16200	SH	DFND	16200	0	0
COGNEX CORP 	COM	192422103	132	2600	SH	DFND	2600	0	0
COGNEX CORP 	COM	192422103	254	5000	SH	DFND	5000	0	0
COGNIZANT TECHNOLOGY SOLUTIO 	CL A	192446102	1007	13900	SH	DFND	13900	0	0
COHERENT INC 	COM	192479103	2305	16262	SH	DFND	16262	0	0
COHERENT INC 	COM	192479103	99	700	SH	DFND	700	0	0
COHERENT INC 	COM	192479103	3954	27900	SH	DFND	27900	0	0
COHU INC 	COM	192576106	153	10400	SH	DFND	10400	0	0
COHU INC 	COM	192576106	9	600	SH	DFND	600	0	0
COLFAX CORP 	COM	194014106	4842	163153	SH	DFND	163153	0	0
COLFAX CORP 	COM	194014106	2051	69100	SH	DFND	69100	0	0
COLGATE PALMOLIVE CO 	COM	194162103	853	12447	SH	DFND	12447	0	0
COLGATE PALMOLIVE CO 	COM	194162103	2728	39800	SH	DFND	39800	0	0
COLLECTORS UNIVERSE INC 	COM NEW	19421R200	28	1582	SH	DFND	1582	0	0
COLLECTORS UNIVERSE INC 	COM NEW	19421R200	175	10000	SH	DFND	10000	0	0
COLUMBIA BKG SYS INC 	COM	197236102	196	6003	SH	DFND	6003	0	0
COLUMBIA BKG SYS INC 	COM	197236102	226	6900	SH	DFND	6900	0	0
COLUMBIA BKG SYS INC 	COM	197236102	1412	43200	SH	DFND	43200	0	0
COLUMBIA FINL INC	COM	197641103	439	28000	SH	DFND	28000	0	0
COLUMBIA SPORTSWEAR CO	COM	198516106	1113	10679	SH	DFND	10679	0	0
COLUMBIA SPORTSWEAR CO	COM	198516106	281	2700	SH	DFND	2700	0	0
COMCAST CORP NEW 	CL A	20030N101	2703	67609	SH	DFND	67609	0	0
COMCAST CORP NEW 	CL A	20030N101	10119	253100	SH	DFND	253100	0	0
COMCAST CORP NEW 	CL A	20030N101	7080	177100	SH	DFND	177100	0	0
COMERICA INC 	COM	200340107	2308	31485	SH	DFND	31485	0	0
COMERICA INC 	COM	200340107	557	7600	SH	DFND	7600	0	0
COMERICA INC 	COM	200340107	2947	40200	SH	DFND	40200	0	0
COMFORT SYS USA INC 	COM	199908104	366	6986	SH	DFND	6986	0	0
COMFORT SYS USA INC 	COM	199908104	634	12100	SH	DFND	12100	0	0
COMMERCIAL VEH GROUP INC 	COM	202608105	206	26900	SH	DFND	26900	0	0
COMMSCOPE HLDG CO INC 	COM	20337X109	974	44800	SH	DFND	44800	0	0
COMMVAULT SYSTEMS INC 	COM	204166102	511	7900	SH	DFND	7900	0	0
COMPANHIA DE SANEAMENTO BASI	SPONSORED ADR	20441A102	136	12900	SH	DFND	12900	0	0
COMPANHIA ENERGETICA DE MINA	SP ADR N-V PFD	204409601	8	2142	SH	DFND	2142	0	0
COMPANHIA ENERGETICA DE MINA	SP ADR N-V PFD	204409601	59	16400	SH	DFND	16400	0	0
COMPANHIA PARANAENSE ENERG C	SPON ADR PFD	20441B407	334	36000	SH	DFND	36000	0	0
COMPANHIA SIDERURGICA NACION	SPONSORED ADR	20440W105	218	53135	SH	DFND	53135	0	0
COMPANHIA SIDERURGICA NACION	SPONSORED ADR	20440W105	363	88200	SH	DFND	88200	0	0
COMPANHIA SIDERURGICA NACION	SPONSORED ADR	20440W105	1042	253600	SH	DFND	253600	0	0
COMPANIA DE MINAS BUENAVENTU	SPONSORED ADR	204448104	241	13953	SH	DFND	13953	0	0
COMPASS MINERALS INTL INC	COM	20451N101	665	12235	SH	DFND	12235	0	0
COMPASS MINERALS INTL INC	COM	20451N101	1794	33000	SH	DFND	33000	0	0
COMPASS MINERALS INTL INC	COM	20451N101	517	9500	SH	DFND	9500	0	0
COMPUTER PROGRAMS & SYS INC 	COM	205306103	368	12384	SH	DFND	12384	0	0
COMTECH TELECOMMUNICATIONS C 	COM NEW	205826209	2553	109931	SH	DFND	109931	0	0
CONAGRA BRANDS INC	COM	205887102	18787	677239	SH	DFND	677239	0	0
CONAGRA BRANDS INC	COM	205887102	2133	76900	SH	DFND	76900	0	0
CONAGRA BRANDS INC	COM	205887102	3606	130000	SH	DFND	130000	0	0
CONCHO RES INC 	COM	20605P101	10475	94400	SH	DFND	94400	0	0
CONCHO RES INC 	COM	20605P101	2674	24100	SH	DFND	24100	0	0
CONDUENT INC 	COM	206787103	723	52287	SH	DFND	52287	0	0
CONDUENT INC 	COM	206787103	1383	100000	SH	DFND	100000	0	0
CONDUENT INC 	COM	206787103	683	49400	SH	DFND	49400	0	0
CONMED CORP 	COM	207410101	882	10600	SH	DFND	10600	0	0
CONMED CORP 	COM	207410101	441	5300	SH	DFND	5300	0	0
CONOCOPHILLIPS 	COM	20825C104	26789	401400	SH	DFND	401400	0	0
CONOCOPHILLIPS 	COM	20825C104	360	5400	SH	DFND	5400	0	0
CONSOLIDATED COMM HLDGS INC 	COM	209034107	199	18200	SH	DFND	18200	0	0
CONSOLIDATED COMM HLDGS INC 	COM	209034107	13	1200	SH	DFND	1200	0	0
CONSOLIDATED EDISON INC 	COM	209115104	4351	51300	SH	DFND	51300	0	0
CONSTELLATION BRANDS INC	CL A	21036P108	1606	9161	SH	DFND	9161	0	0
CONSTELLATION BRANDS INC	CL A	21036P108	5260	30000	SH	DFND	30000	0	0
CONSTELLATION BRANDS INC	CL A	21036P108	2823	16100	SH	DFND	16100	0	0
CONSTELLIUM NV 	CL A	N22035104	249	31150	SH	DFND	31150	0	0
CONTINENTAL RESOURCES INC 	COM	212015101	1106	24700	SH	DFND	24700	0	0
CONTINENTAL RESOURCES INC 	COM	212015101	1701	38000	SH	DFND	38000	0	0
CONTROLADORA VUELA CIA DE AV 	SPON ADR RP 10	21240E105	29	3438	SH	DFND	3438	0	0
CONTROLADORA VUELA CIA DE AV 	SPON ADR RP 10	21240E105	84	9900	SH	DFND	9900	0	0
CONTROLADORA VUELA CIA DE AV 	SPON ADR RP 10	21240E105	172	20200	SH	DFND	20200	0	0
COOPER COS INC 	COM NEW	216648402	2902	9800	SH	DFND	9800	0	0
COOPER STD HLDGS INC 	COM	21676P103	1341	28552	SH	DFND	28552	0	0
COOPER STD HLDGS INC 	COM	21676P103	582	12400	SH	DFND	12400	0	0
COOPER STD HLDGS INC 	COM	21676P103	3705	78900	SH	DFND	78900	0	0
COOPER TIRE & RUBR CO 	COM	216831107	3872	129552	SH	DFND	129552	0	0
COOPER TIRE & RUBR CO 	COM	216831107	496	16600	SH	DFND	16600	0	0
COOPER TIRE & RUBR CO 	COM	216831107	8220	275000	SH	DFND	275000	0	0
COPA HOLDINGS SA 	CL A	P31076105	339	4200	SH	DFND	4200	0	0
COPART INC	COM	217204106	303	4997	SH	DFND	4997	0	0
COPART INC	COM	217204106	1690	27900	SH	DFND	27900	0	0
COPART INC	COM	217204106	630	10400	SH	DFND	10400	0	0
CORBUS PHARMACEUTICALS HLDGS 	COM	21833P103	29	4194	SH	DFND	4194	0	0
CORBUS PHARMACEUTICALS HLDGS 	COM	21833P103	6	900	SH	DFND	900	0	0
CORBUS PHARMACEUTICALS HLDGS 	COM	21833P103	261	37500	SH	DFND	37500	0	0
CORE LABORATORIES N V 	COM	N22717107	1375	19946	SH	DFND	19946	0	0
CORE LABORATORIES N V 	COM	N22717107	1578	22900	SH	DFND	22900	0	0
CORE LABORATORIES N V 	COM	N22717107	165	2400	SH	DFND	2400	0	0
CORE MARK HOLDING CO INC 	COM	218681104	1455	39200	SH	DFND	39200	0	0
CORE MARK HOLDING CO INC 	COM	218681104	705	19000	SH	DFND	19000	0	0
CORECIVIC INC 	COM	21871N101	424	21800	SH	DFND	21800	0	0
CORECIVIC INC 	COM	21871N101	33	1700	SH	DFND	1700	0	0
CORELOGIC INC 	COM	21871D103	741	19900	SH	DFND	19900	0	0
CORELOGIC INC 	COM	21871D103	1129	30300	SH	DFND	30300	0	0
CORESITE RLTY CORP 	COM	21870Q105	310	2900	SH	DFND	2900	0	0
CORESITE RLTY CORP 	COM	21870Q105	11	100	SH	DFND	100	0	0
CORNERSTONE ONDEMAND INC 	COM	21925Y103	7138	130300	SH	DFND	130300	0	0
CORNERSTONE ONDEMAND INC 	COM	21925Y103	1561	28500	SH	DFND	28500	0	0
CORNING INC 	COM	219350105	1769	53439	SH	DFND	53439	0	0
CORNING INC 	COM	219350105	1400	42300	SH	DFND	42300	0	0
CORNING INC 	COM	219350105	1999	60400	SH	DFND	60400	0	0
COSAN LTD	SHS A	G25343107	2392	206400	SH	DFND	206400	0	0
COSAN LTD	SHS A	G25343107	483	41700	SH	DFND	41700	0	0
COSTAMARE INC 	SHS	Y1771G102	134	25846	SH	DFND	25846	0	0
COSTAMARE INC 	SHS	Y1771G102	21	4000	SH	DFND	4000	0	0
COSTAMARE INC 	SHS	Y1771G102	3	500	SH	DFND	500	0	0
COSTAR GROUP INC 	COM	22160N109	47	100	SH	DFND	100	0	0
COSTAR GROUP INC 	COM	22160N109	1026	2200	SH	DFND	2200	0	0
COSTCO WHSL CORP NEW 	COM	22160K105	6351	26227	SH	DFND	26227	0	0
COSTCO WHSL CORP NEW 	COM	22160K105	2906	12000	SH	DFND	12000	0	0
COSTCO WHSL CORP NEW 	COM	22160K105	14262	58900	SH	DFND	58900	0	0
COTY INC 	COM CL A	222070203	15	1335	SH	DFND	1335	0	0
COTY INC 	COM CL A	222070203	58	5000	SH	DFND	5000	0	0
COTY INC 	COM CL A	222070203	127	11000	SH	DFND	11000	0	0
COUPA SOFTWARE INC 	COM	22266L106	2617	28761	SH	DFND	28761	0	0
COUPA SOFTWARE INC 	COM	22266L106	5977	65700	SH	DFND	65700	0	0
COUPA SOFTWARE INC 	COM	22266L106	17159	188600	SH	DFND	188600	0	0
COVANTA HLDG CORP	COM	22282E102	3230	186600	SH	DFND	186600	0	0
COVANTA HLDG CORP	COM	22282E102	260	15000	SH	DFND	15000	0	0
COWEN INC 	CL A NEW	223622606	631	43515	SH	DFND	43515	0	0
COWEN INC 	CL A NEW	223622606	14	1000	SH	DFND	1000	0	0
CRA INTL INC 	COM	12618T105	111	2199	SH	DFND	2199	0	0
CRA INTL INC 	COM	12618T105	187	3700	SH	DFND	3700	0	0
CRACKER BARREL OLD CTRY STOR 	COM	22410J106	29946	185300	SH	DFND	185300	0	0
CRANE CO 	COM	224399105	271	3200	SH	DFND	3200	0	0
CRAY INC 	COM NEW	225223304	303	11637	SH	DFND	11637	0	0
CRAY INC 	COM NEW	225223304	107	4100	SH	DFND	4100	0	0
CREDICORP LTD	COM	G2519Y108	136	565	SH	DFND	565	0	0
CREDICORP LTD	COM	G2519Y108	1800	7500	SH	DFND	7500	0	0
CREDIT ACCEP CORP MICH 	COM	225310101	3830	8474	SH	DFND	8474	0	0
CREDIT ACCEP CORP MICH 	COM	225310101	11660	25800	SH	DFND	25800	0	0
CREDIT SUISSE GROUP	SPONSORED ADR	225401108	13624	1169440	SH	DFND	1169440	0	0
CREDIT SUISSE GROUP	SPONSORED ADR	225401108	5390	462700	SH	DFND	462700	0	0
CREDIT SUISSE GROUP	SPONSORED ADR	225401108	47866	4108700	SH	DFND	4108700	0	0
CREE INC 	COM	225447101	15924	278300	SH	DFND	278300	0	0
CREE INC 	COM	225447101	561	9800	SH	DFND	9800	0	0
CRESTWOOD EQUITY PARTNERS LP 	UNIT LTD PARTNER	226344208	1633	46400	SH	DFND	46400	0	0
CRESTWOOD EQUITY PARTNERS LP 	UNIT LTD PARTNER	226344208	887	25200	SH	DFND	25200	0	0
CROCS INC 	COM	227046109	243	9442	SH	DFND	9442	0	0
CROCS INC 	COM	227046109	88	3400	SH	DFND	3400	0	0
CROCS INC 	COM	227046109	2178	84600	SH	DFND	84600	0	0
CROWN CASTLE INTL CORP NEW 	COM	22822V101	1472	11500	SH	DFND	11500	0	0
CROWN CASTLE INTL CORP NEW 	COM	22822V101	13	100	SH	DFND	100	0	0
CROWN HOLDINGS INC 	COM	228368106	437	8000	SH	DFND	8000	0	0
CSG SYS INTL INC 	COM	126349109	783	18522	SH	DFND	18522	0	0
CSG SYS INTL INC 	COM	126349109	63	1500	SH	DFND	1500	0	0
CSI COMPRESSCO LP 	COM UNIT	12637A103	10	3604	SH	DFND	3604	0	0
CSI COMPRESSCO LP 	COM UNIT	12637A103	33	11500	SH	DFND	11500	0	0
CSX CORP 	COM	126408103	1287	17200	SH	DFND	17200	0	0
CSX CORP 	COM	126408103	2394	32000	SH	DFND	32000	0	0
CTRIP COM INTL LTD	SPONSORED ADS	22943F100	1612	36900	SH	DFND	36900	0	0
CTRIP COM INTL LTD	SPONSORED ADS	22943F100	1114	25500	SH	DFND	25500	0	0
CUBIC CORP 	COM	229669106	765	13595	SH	DFND	13595	0	0
CUBIC CORP 	COM	229669106	748	13300	SH	DFND	13300	0	0
CUBIC CORP 	COM	229669106	1254	22300	SH	DFND	22300	0	0
CULLEN FROST BANKERS INC 	COM	229899109	7756	79896	SH	DFND	79896	0	0
CULLEN FROST BANKERS INC 	COM	229899109	1621	16700	SH	DFND	16700	0	0
CULLEN FROST BANKERS INC 	COM	229899109	19365	199500	SH	DFND	199500	0	0
CUMMINS INC	COM	231021106	3174	20104	SH	DFND	20104	0	0
CUMMINS INC	COM	231021106	1594	10100	SH	DFND	10100	0	0
CUMMINS INC	COM	231021106	18708	118500	SH	DFND	118500	0	0
CURO GROUP HLDGS CORP	COM	23131L107	147	14696	SH	DFND	14696	0	0
CURTISS WRIGHT CORP	COM	231561101	1836	16200	SH	DFND	16200	0	0
CURTISS WRIGHT CORP	COM	231561101	317	2800	SH	DFND	2800	0	0
CUTERA INC 	COM	232109108	46	2600	SH	DFND	2600	0	0
CUTERA INC 	COM	232109108	208	11800	SH	DFND	11800	0	0
CVR ENERGY INC 	COM	12662P108	1982	48100	SH	DFND	48100	0	0
CVR ENERGY INC 	COM	12662P108	1236	30000	SH	DFND	30000	0	0
CVS HEALTH CORP 	COM	126650100	41062	761403	SH	DFND	761403	0	0
CVS HEALTH CORP 	COM	126650100	3284	60900	SH	DFND	60900	0	0
CVS HEALTH CORP 	COM	126650100	82907	1537300	SH	DFND	1537300	0	0
CYBERARK SOFTWARE LTD 	SHS	M2682V108	4051	34028	SH	DFND	34028	0	0
CYBERARK SOFTWARE LTD 	SHS	M2682V108	17869	150100	SH	DFND	150100	0	0
CYBERARK SOFTWARE LTD 	SHS	M2682V108	15905	133600	SH	DFND	133600	0	0
CYPRESS SEMICONDUCTOR CORP 	COM	232806109	3184	213400	SH	DFND	213400	0	0
CYPRESS SEMICONDUCTOR CORP 	COM	232806109	2671	179000	SH	DFND	179000	0	0
CYRUSONE INC 	COM	23283R100	498	9500	SH	DFND	9500	0	0
CYRUSONE INC 	COM	23283R100	16	300	SH	DFND	300	0	0
D R HORTON INC 	COM	23331A109	9773	236169	SH	DFND	236169	0	0
D R HORTON INC 	COM	23331A109	935	22600	SH	DFND	22600	0	0
D R HORTON INC 	COM	23331A109	1241	30000	SH	DFND	30000	0	0
DANAHER CORPORATION 	COM	235851102	2032	15392	SH	DFND	15392	0	0
DANAHER CORPORATION 	COM	235851102	1980	15000	SH	DFND	15000	0	0
DAQO NEW ENERGY CORP 	SPNSRD ADR NEW	23703Q203	4604	139400	SH	DFND	139400	0	0
DAQO NEW ENERGY CORP 	SPNSRD ADR NEW	23703Q203	277	8400	SH	DFND	8400	0	0
DARDEN RESTAURANTS INC 	COM	237194105	7628	62800	SH	DFND	62800	0	0
DARDEN RESTAURANTS INC 	COM	237194105	2855	23500	SH	DFND	23500	0	0
DAVE & BUSTERS ENTMT INC 	COM	238337109	538	10797	SH	DFND	10797	0	0
DAVE & BUSTERS ENTMT INC 	COM	238337109	1591	31900	SH	DFND	31900	0	0
DAVE & BUSTERS ENTMT INC 	COM	238337109	3835	76900	SH	DFND	76900	0	0
DAVITA INC	COM	23918K108	1073	19767	SH	DFND	19767	0	0
DAVITA INC	COM	23918K108	608	11200	SH	DFND	11200	0	0
DAVITA INC	COM	23918K108	2242	41300	SH	DFND	41300	0	0
DEERE & CO 	COM	244199105	15345	96000	SH	DFND	96000	0	0
DEERE & CO 	COM	244199105	18525	115900	SH	DFND	115900	0	0
DEL FRISCOS RESTAURANT GROUP 	COM	245077102	194	30263	SH	DFND	30263	0	0
DELL TECHNOLOGIES INC	CL C	24703L202	1648	28081	SH	DFND	28081	0	0
DELPHI TECHNOLOGIES PLC	COM	G2709G107	1256	65225	SH	DFND	65225	0	0
DELPHI TECHNOLOGIES PLC	COM	G2709G107	955	49600	SH	DFND	49600	0	0
DELPHI TECHNOLOGIES PLC	COM	G2709G107	1966	102100	SH	DFND	102100	0	0
DELTA AIR LINES INC DEL 	COM NEW	247361702	1276	24705	SH	DFND	24705	0	0
DELTA AIR LINES INC DEL 	COM NEW	247361702	300	5800	SH	DFND	5800	0	0
DELTA AIR LINES INC DEL 	COM NEW	247361702	8564	165800	SH	DFND	165800	0	0
DELUXE CORP	COM	248019101	420	9600	SH	DFND	9600	0	0
DENNYS CORP 	COM	24869P104	222	12075	SH	DFND	12075	0	0
DENNYS CORP 	COM	24869P104	83	4500	SH	DFND	4500	0	0
DENTSPLY SIRONA INC 	COM	24906P109	903	18200	SH	DFND	18200	0	0
DEUTSCHE BANK AG 	NAMEN AKT	D18190898	9776	1203957	SH	DFND	1203957	0	0
DEUTSCHE BANK AG 	NAMEN AKT	D18190898	1992	245300	SH	DFND	245300	0	0
DEUTSCHE BANK AG 	NAMEN AKT	D18190898	20275	2496900	SH	DFND	2496900	0	0
DEVON ENERGY CORP NEW 	COM	25179M103	8411	266524	SH	DFND	266524	0	0
DEVON ENERGY CORP NEW 	COM	25179M103	1938	61400	SH	DFND	61400	0	0
DEVON ENERGY CORP NEW 	COM	25179M103	1894	60000	SH	DFND	60000	0	0
DHI GROUP INC 	COM	23331S100	80	32900	SH	DFND	32900	0	0
DHT HOLDINGS INC 	SHS NEW	Y2065G121	1689	378645	SH	DFND	378645	0	0
DHT HOLDINGS INC 	SHS NEW	Y2065G121	1306	292900	SH	DFND	292900	0	0
DIAGEO P L C	SPON ADR NEW	25243Q205	11862	72500	SH	DFND	72500	0	0
DIAGEO P L C	SPON ADR NEW	25243Q205	23462	143400	SH	DFND	143400	0	0
DIAMONDBACK ENERGY INC 	COM	25278X109	4014	39538	SH	DFND	39538	0	0
DIAMONDBACK ENERGY INC 	COM	25278X109	406	4000	SH	DFND	4000	0	0
DIAMONDBACK ENERGY INC 	COM	25278X109	13707	135000	SH	DFND	135000	0	0
DICKS SPORTING GOODS INC	COM	253393102	512	13900	SH	DFND	13900	0	0
DICKS SPORTING GOODS INC	COM	253393102	3795	103100	SH	DFND	103100	0	0
DICKS SPORTING GOODS INC	COM	253393102	1517	41200	SH	DFND	41200	0	0
DIEBOLD NXDF INC 	COM	253651103	5198	469600	SH	DFND	469600	0	0
DIGIMARC CORP NEW 	COM	25381B101	4972	158430	SH	DFND	158430	0	0
DIGITAL RLTY TR INC 	COM	253868103	119	1000	SH	DFND	1000	0	0
DIGITAL RLTY TR INC 	COM	253868103	904	7600	SH	DFND	7600	0	0
DILLARDS INC 	CL A	254067101	1562	21686	SH	DFND	21686	0	0
DIODES INC 	COM	254543101	460	13268	SH	DFND	13268	0	0
DIODES INC 	COM	254543101	1103	31800	SH	DFND	31800	0	0
DIODES INC 	COM	254543101	101	2900	SH	DFND	2900	0	0
DIPLOMAT PHARMACY INC 	COM	25456K101	37	6376	SH	DFND	6376	0	0
DIPLOMAT PHARMACY INC 	COM	25456K101	53	9200	SH	DFND	9200	0	0
DISCOVER FINL SVCS 	COM	254709108	4106	57700	SH	DFND	57700	0	0
DISCOVER FINL SVCS 	COM	254709108	1722	24200	SH	DFND	24200	0	0
DISCOVERY INC	COM SER A	25470F104	665	24600	SH	DFND	24600	0	0
DISCOVERY INC	COM SER A	25470F104	14	500	SH	DFND	500	0	0
DISCOVERY INC	COM SER C	25470F302	224	8799	SH	DFND	8799	0	0
DISCOVERY INC	COM SER C	25470F302	3	100	SH	DFND	100	0	0
DISH NETWORK CORP 	CL A	25470M109	916	28902	SH	DFND	28902	0	0
DISH NETWORK CORP 	CL A	25470M109	1375	43400	SH	DFND	43400	0	0
DISH NETWORK CORP 	CL A	25470M109	3815	120400	SH	DFND	120400	0	0
DISNEY WALT CO	COM DISNEY	254687106	9349	84200	SH	DFND	84200	0	0
DISNEY WALT CO	COM DISNEY	254687106	14956	134700	SH	DFND	134700	0	0
DISNEY WALT CO	COM DISNEY	254687106	16799	151300	SH	DFND	151300	0	0
DIVERSICARE HEALTHCARE SVCS 	COM	255104101	427	110047	SH	DFND	110047	0	0
DMC GLOBAL INC	COM	23291C103	5118	103100	SH	DFND	103100	0	0
DMC GLOBAL INC	COM	23291C103	5689	114600	SH	DFND	114600	0	0
DOCUSIGN INC	COM	256163106	10161	196000	SH	DFND	196000	0	0
DOCUSIGN INC	COM	256163106	9834	189700	SH	DFND	189700	0	0
DOLLAR GEN CORP NEW 	COM	256677105	727	6092	SH	DFND	6092	0	0
