nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
LIVERAMP HLDGS INC	COM	53815P108	1094	20047	SH	SOLE	20047	0	0
MACYS INC	COM	55616P104	657	27344	SH	SOLE	27344	0	0
MERITOR INC	COM	59001K100	1103	54194	SH	SOLE	54194	0	0
METLIFE INC	COM	59156R108	1097	25773	SH	SOLE	25773	0	0
MICRON TECHNOLOGY INC	COM	595112103	7506	181613	SH	SOLE	181613	0	0
MICROSOFT CORP	COM	594918104	34536	292825	SH	SOLE	292825	0	0
MILLER HERMAN INC	COM	600544100	1100	31266	SH	SOLE	31266	0	0
MOLINA HEALTHCARE INC	COM	60855R100	1102	7761	SH	SOLE	7761	0	0
MSC INDL DIRECT INC	CL A	553530106	283	3427	SH	SOLE	3427	0	0
NAVISTAR INTL CORP NEW	COM	63934E108	884	27360	SH	SOLE	27360	0	0
NETFLIX INC	COM	64110L106	1972	5531	SH	SOLE	5531	0	0
NEW YORK TIMES CO	CL A	650111107	1363	41478	SH	SOLE	41478	0	0
NORFOLK SOUTHERN CORP	COM	655844108	1095	5858	SH	SOLE	5858	0	0
NOVARTIS A G	SPONSORED ADR	66987V109	58	600	SH	SOLE	600	0	0
NRG ENERGY INC	COM NEW	629377508	1318	31019	SH	SOLE	31019	0	0
OSHKOSH CORP	COM	688239201	1015	13512	SH	SOLE	13512	0	0
PALO ALTO NETWORKS INC	COM	697435105	3550	14617	SH	SOLE	14617	0	0
PAYPAL HLDGS INC	COM	70450Y103	138	1325	SH	SOLE	1325	0	0
PFIZER INC	COM	717081103	64	1500	SH	SOLE	1500	0	0
PHILLIPS 66	COM	718546104	659	6920	SH	SOLE	6920	0	0
POPULAR INC	COM NEW	733174700	1095	21000	SH	SOLE	21000	0	0
PROCTER AND GAMBLE CO	COM	742718109	62	600	SH	SOLE	600	0	0
PROSHARES TR II	ULTRASHORT YEN N	74347W569	306	4000	SH	SOLE	4000	0	0
QUANTA SVCS INC	COM	74762E102	1099	29111	SH	SOLE	29111	0	0
ROBERT HALF INTL INC	COM	770323103	1096	16820	SH	SOLE	16820	0	0
SALESFORCE COM INC	COM	79466L302	14008	88452	SH	SOLE	88452	0	0
SANTANDER CONSUMER USA HDG I	COM	80283M101	952	45047	SH	SOLE	45047	0	0
SERVICENOW INC	COM	81762P102	14876	60350	SH	SOLE	60350	0	0
SINCLAIR BROADCAST GROUP INC	CL A	829226109	1102	28641	SH	SOLE	28641	0	0
SOUTHWEST AIRLS CO	COM	844741108	1101	21216	SH	SOLE	21216	0	0
SPIRIT AEROSYSTEMS HLDGS INC	COM CL A	848574109	1900	20757	SH	SOLE	20757	0	0
SPOTIFY TECHNOLOGY S A	SHS	L8681T102	24493	176460	SH	SOLE	176460	0	0
STEELCASE INC	CL A	858155203	1093	75140	SH	SOLE	75140	0	0
T MOBILE US INC	COM	872590104	3194	46216	SH	SOLE	46216	0	0
TAL EDUCATION GROUP	SPONSORED ADS	874080104	2209	61217	SH	SOLE	61217	0	0
TARGET CORP	COM	87612E106	1095	13648	SH	SOLE	13648	0	0
TECH DATA CORP	COM	878237106	657	6412	SH	SOLE	6412	0	0
TELEPHONE & DATA SYS INC	COM NEW	879433829	1094	35593	SH	SOLE	35593	0	0
TERRAFORM PWR INC	COM CL A	88104R209	1125	81876	SH	SOLE	81876	0	0
TESLA INC	COM	88160R101	42	150	SH	SOLE	150	0	0
THE CHARLES SCHWAB CORPORATI	COM	808513105	1841	43046	SH	SOLE	43046	0	0
TRANSDIGM GROUP INC	COM	893641100	3432	7559	SH	SOLE	7559	0	0
TRUSTMARK CORP	COM	898402102	1093	32511	SH	SOLE	32511	0	0
UGI CORP NEW	COM	902681105	1030	18587	SH	SOLE	18587	0	0
UNILEVER N V	N Y SHS NEW	904784709	70	1200	SH	SOLE	1200	0	0
UNITED BANKSHARES INC WEST V	COM	909907107	1093	30163	SH	SOLE	30163	0	0
UNITED CONTL HLDGS INC	COM	910047109	1097	13756	SH	SOLE	13756	0	0
US BANCORP DEL	COM NEW	902973304	660	13702	SH	SOLE	13702	0	0
VERIZON COMMUNICATIONS INC	COM	92343V104	1094	18509	SH	SOLE	18509	0	0
VISA INC	COM CL A	92826C839	17465	111820	SH	SOLE	111820	0	0
VISTRA ENERGY CORP	COM	92840M102	3249	124826	SH	SOLE	124826	0	0
VODAFONE GROUP PLC NEW	SPONSORED ADR	92857W308	24	1300	SH	SOLE	1300	0	0
VOYA FINL INC	COM	929089100	1091	21834	SH	SOLE	21834	0	0
WABTEC CORP	COM	929740108	1	10	SH	SOLE	10	0	0
WADDELL & REED FINL INC	CL A	930059100	1095	63345	SH	SOLE	63345	0	0
WELLS FARGO CO NEW	COM	949746101	1023	21178	SH	SOLE	21178	0	0
WISDOMTREE TR	JAPN HEDGE EQT	97717W851	468	9250	SH	SOLE	9250	0	0
WOLVERINE WORLD WIDE INC	COM	978097103	592	16579	SH	SOLE	16579	0	0
WORKDAY INC	CL A	98138H101	14189	73575	SH	SOLE	73575	0	0
YANDEX N V	SHS CLASS A	N97284108	3752	109268	SH	SOLE	109268	0	0
ZILLOW GROUP INC	CL A	98954M101	29	850	SH	SOLE	850	0	0
ZILLOW GROUP INC	CL C CAP STK	98954M200	59	1700	SH	SOLE	1700	0	0
ZIONS BANCORPORATION N A	COM	989701107	1096	24131	SH	SOLE	24131	0	0
